any_academic,assignatura,codi_assignatura,grup,NIA,pla,tipus,curs,semestre,exhaurides,superada,nota_numerica,nota_alfa
2014,Inf,200137,301,1400141,879,B,1,1,1,S,5.6,AP
2014,Mates,200138,301,1400141,879,B,1,1,1,S,5.8,AP
2014,Antr,200139,301,1400141,879,O,1,1,1,S,6.5,AP
2014,Calc,200140,301,1400141,879,B,1,2,1,S,6.5,AP
2014,EGraf,200141,301,1400141,879,B,1,2,1,S,6.4,AP
2014,FisEl,200142,301,1400141,879,B,1,2,1,S,5.0,AP
2014,Quim,200143,301,1400141,879,B,1,2,1,S,6.0,AP
2014,EMedi,200144,301,1400141,879,O,1,2,1,S,5.1,AP
2014,Emp,200265,701,1400145,880,B,1,1,2,S,4.0,SS
2014,Fis,200266,701,1400145,880,B,1,1,3,S,3.0,SS
2014,Inf,200267,701,1400145,880,B,1,1,1,S,5.0,AP
2014,Mates,200268,701,1400145,880,B,1,1,3,S,0.0,NP
2014,Antr,200269,701,1400145,880,O,1,1,1,S,7.0,NT
2014,Calc,200270,701,1400145,880,B,1,2,3,S,1.0,SS
2014,EGraf,200271,701,1400145,880,B,1,2,3,S,4.0,SS
2014,FisEl,200272,701,1400145,880,B,1,2,2,S,0.0,NP
2014,Quim,200273,701,1400145,880,B,1,2,1,S,5.2,AP
2014,EMedi,200274,701,1400145,880,O,1,2,1,S,5.9,AP
2014,Emp,200135,101,1400144,877,B,1,1,1,S,6.0,AP
2014,Fis,200136,101,1400144,877,B,1,1,1,S,7.2,NT
2014,Inf,200137,101,1400144,877,B,1,1,1,S,7.0,NT
2014,Mates,200138,101,1400144,877,B,1,1,1,S,9.0,M
2014,Antr,200139,101,1400144,877,O,1,1,1,S,10.0,SB
2014,Calc,200140,101,1400144,877,B,1,2,1,S,7.8,NT
2014,EGraf,200141,101,1400144,877,B,1,2,1,S,7.6,NT
2014,FisEl,200142,101,1400144,877,B,1,2,1,S,6.7,AP
2014,Quim,200143,101,1400144,877,B,1,2,1,S,6.8,AP
2014,EMedi,200144,101,1400144,877,O,1,2,1,S,8.2,NT
2014,Emp,200135,101,1400572,879,B,1,1,2,N,3.0,SS
2014,Fis,200136,101,1400572,879,B,1,1,2,N,3.0,SS
2014,Inf,200137,101,1400572,879,B,1,1,2,N,2.9,SS
2014,Mates,200138,101,1400572,879,B,1,1,2,N,1.1,SS
2014,Antr,200139,101,1400572,879,O,1,1,2,N,0.0,NP
2014,Calc,200140,101,1400572,879,B,1,2,2,N,0.0,NP
2014,EGraf,200141,101,1400572,879,B,1,2,2,N,0.0,SS
2014,FisEl,200142,101,1400572,879,B,1,2,2,N,0.0,NP
2014,Quim,200143,101,1400572,879,B,1,2,2,N,0.0,NP
2014,EMedi,200144,101,1400572,879,O,1,2,2,N,0.0,NP
2014,Emp,200135,701,1400995,1278,B,1,1,1,N,0.6,SS
2014,Fis,200136,701,1400995,1278,B,1,1,1,N,0.0,NP
2014,Inf,200137,701,1400995,1278,B,1,1,1,N,0.0,NP
2014,Mates,200138,701,1400995,1278,B,1,1,1,N,0.0,NP
2014,Antr,200139,701,1400995,1278,O,1,1,1,N,0.0,NP
2014,Calc,200140,701,1400995,1278,B,1,2,1,N,0.0,NP
2014,EGraf,200141,701,1400995,1278,B,1,2,1,N,1.0,SS
2014,FisEl,200142,701,1400995,1278,B,1,2,1,N,0.0,NP
2014,Quim,200143,701,1400995,1278,B,1,2,1,N,0.0,NP
2014,EMedi,200144,701,1400995,1278,O,1,2,1,N,1.2,SS
2014,Emp,200135,101,1400146,877,B,1,1,1,S,5.9,AP
2014,Fis,200136,101,1400146,877,B,1,1,1,S,6.4,AP
2014,Inf,200137,101,1400146,877,B,1,1,1,S,5.6,AP
2014,Mates,200138,101,1400146,877,B,1,1,1,S,5.0,AP
2014,Antr,200139,101,1400146,877,O,1,1,1,S,7.0,NT
2014,Calc,200140,101,1400146,877,B,1,2,1,S,6.5,AP
2014,EGraf,200141,101,1400146,877,B,1,2,1,S,7.5,NT
2014,FisEl,200142,101,1400146,877,B,1,2,1,S,6.3,AP
2014,Quim,200143,101,1400146,877,B,1,2,1,S,5.5,AP
2014,EMedi,200144,101,1400146,877,O,1,2,1,S,6.9,AP
2014,Emp,200135,701,1400803,879,B,1,1,3,S,1.8,SS
2014,InsEn,200205,701,1219998,877,O,3,2,1,S,6.6,AP
2014,EngFT,200240,101,1218685,879,O,3,1,3,S,4.5,SS
2014,MecMC,200241,901,1218685,879,O,3,1,3,N,1.0,SS
2014,DisMM,200244,101,1218685,879,O,3,2,1,S,5.0,AP
2014,TECIn,200247,901,1218685,879,O,3,2,3,N,0.0,NP
2014,TElEn,200279,801,1340391,880,O,2,1,1,N,0.0,NP
2014,MacrE,200286,1001,1340391,880,O,3,1,1,N,0.0,SS
2014,CicVi,200251,701,1283242,879,P,4,1,1,S,6.6,AP
2014,CQual,200253,701,1283242,879,P,4,2,1,S,7.4,NT
2014,DIHC-InEdi,200254,701,1283242,879,P,4,1,1,S,7.0,NT
2014,EngMe,200258,701,1283242,879,P,4,1,1,S,7.5,NT
2014,SeMat,200262,701,1283242,879,P,4,1,1,S,6.0,AP
2014,IdAle,200909,701,1283242,879,P,4,1,1,S,9.6,SB
2014,VBB,200294,301,1340391,880,O,3,2,1,N,0.0,NP
2014,SPrIn,200158,801,1219245,879,O,3,1,1,S,5.2,AP
2014,MecMC,200241,1101,1219245,879,O,3,1,3,S,0.0,NP
2014,IdAle,200909,701,1314225,879,P,4,1,1,N,0.0,NP
2014,CQual,200253,701,1218685,879,P,4,2,2,N,0.0,NP
2014,IdAle,200909,701,1218685,879,P,4,1,1,S,6.7,AP
2014,Fis,200136,701,1399514,879,B,1,1,2,N,0.0,NP
2014,Inf,200137,701,1399514,879,B,1,1,1,S,5.0,AP
2014,Mates,200138,701,1399514,879,B,1,1,2,N,1.0,SS
2014,Antr,200139,701,1399514,879,O,1,1,1,S,5.5,AP
2014,Calc,200140,701,1399514,879,B,1,2,2,N,0.0,NP
2014,FisEl,200142,701,1399514,879,B,1,2,2,S,0.0,NP
2014,Quim,200143,701,1399514,879,B,1,2,2,N,0.0,NP
2014,EMedi,200144,701,1399514,879,O,1,2,1,S,5.3,AP
2014,Emp,200135,301,1400545,879,B,1,1,2,N,4.0,SS
2014,Inf,200137,401,1400545,879,B,1,1,2,N,2.7,SS
2014,Calc,200140,401,1400545,879,B,1,2,2,N,0.0,SS
2014,EGraf,200141,501,1400545,879,B,1,2,2,N,1.0,SS
2014,Estad,200145,701,1400545,879,B,2,1,2,N,1.0,SS
2014,AMCI,200146,401,1400545,879,O,2,1,1,N,1.6,SS
2014,TCEE,200148,901,1400545,879,O,2,1,2,N,0.0,SS
2014,CTMat,200150,401,1400545,879,O,2,2,2,N,1.0,SS
